#At time x allocated y bytes for process z from i to j
At time 6 allocated 45 bytes for process 1 from 0 to 63
At time 9 allocated 96 bytes for process 2 from 128 to 255
At time 11 allocated 122 bytes for process 3 from 256 to 383
At time 12 allocated 234 bytes for process 4 from 512 to 767
At time 12 allocated 31 bytes for process 5 from 64 to 95
At time 12 allocated 211 bytes for process 6 from 768 to 1023
At time 12 allocated 110 bytes for process 7 from 384 to 511
At time 14 freed 45 bytes for process 1 from 0 to 63
At time 23 freed 122 bytes for process 3 from 256 to 383
At time 26 freed 211 bytes for process 6 from 768 to 1023
At time 26 allocated 154 bytes for process 8 from 768 to 1023
At time 35 freed 31 bytes for process 5 from 64 to 95
At time 51 freed 110 bytes for process 7 from 384 to 511
At time 51 allocated 222 bytes for process 9 from 256 to 511
At time 51 allocated 111 bytes for process 10 from 0 to 127
At time 59 freed 111 bytes for process 10 from 0 to 127
At time 68 freed 222 bytes for process 9 from 256 to 511
At time 75 freed 234 bytes for process 4 from 512 to 767
At time 87 freed 96 bytes for process 2 from 128 to 255
At time 88 freed 154 bytes for process 8 from 768 to 1023
