#At time x allocated y bytes for process z from i to j
At time 9 allocated 104 bytes for process 1 from 0 to 127
At time 14 allocated 255 bytes for process 2 from 256 to 511
At time 15 allocated 19 bytes for process 3 from 128 to 159
At time 15 allocated 245 bytes for process 4 from 512 to 767
At time 18 allocated 200 bytes for process 5 from 768 to 1023
At time 32 allocated 34 bytes for process 7 from 192 to 255
At time 33 freed 255 bytes for process 2 from 256 to 511
At time 33 allocated 176 bytes for process 6 from 256 to 511
At time 46 freed 34 bytes for process 7 from 192 to 255
At time 58 freed 104 bytes for process 1 from 0 to 127
At time 61 freed 200 bytes for process 5 from 768 to 1023
At time 61 allocated 146 bytes for process 8 from 768 to 1023
At time 78 freed 19 bytes for process 3 from 128 to 159
At time 78 allocated 216 bytes for process 9 from 0 to 255
At time 83 freed 146 bytes for process 8 from 768 to 1023
At time 83 allocated 148 bytes for process 10 from 768 to 1023
At time 85 freed 176 bytes for process 6 from 256 to 511
At time 91 freed 245 bytes for process 4 from 512 to 767
At time 100 freed 148 bytes for process 10 from 768 to 1023
At time 118 freed 216 bytes for process 9 from 0 to 255
